Lat,Long,SCHOOL,ADDRESS,GradeLevel,SchoolType
37.7471751,-122.1617477,REACH ACADEMY,9860 Sunnyside St.,,
37.75138947,-122.1569001,ALTERNATIVE LEARNING COMMUNITY,9736 Lawlor Street,,
37.80796685,-122.2896307,COLE MIDDLE SCHOOL,1011 Union St,,
37.81966069,-122.2016863,MONTERA MIDDLE SCHOOL,5555 Ascot Dr,,
37.78508868,-122.217215,PERALTA CREEK MIDDLE SCHOOL,2101 35th Ave,,
37.78993287,-122.2370133,ROOSEVELT MIDDLE SCHOOL,1926 19th Ave,,
37.78508868,-122.217215,UNITED FOR SUCCESS ACADEMY,2101 35th Ave,,
37.78205175,-122.2246699,URBAN PROMISE ACADEMY,3031 E. 18th Street,,
37.79919715,-122.2067634,BRET HARTE MIDDLE SCHOOL,3700 Coolidge Ave,,
37.77519237,-122.1771999,Explore College Preparatory Middle,3550 64th Avenue,,
37.77159131,-122.1849371,FRICK MIDDLE SCHOOL,2845 64th Ave,,
37.72661757,-122.1780792,JAMES MADISON MIDDLE SCHOOL,400 Capistrano Dr,,
37.76196811,-122.1934532,ROOTS INTERNATIONAL ACADEMY,1390 66th Ave,,
37.76196811,-122.1934532,COLISEUM COLLEGE PREP ACADEMY,1390 66th Ave,,
37.7881246,-122.177748,COMMUNITY DAY HS,4917 Mountain Blvd,,
37.75899842,-122.1647505,LEADERSHIP PREPARATORY HIGH SCHOOL,8610 MacArthur Blvd,,
37.78508868,-122.217215,LIFE ACADEMY,2101 35th Avenue,,
37.7590684,-122.1907543,RUDSDALE CONTINUATION,1180 70th Avenue,,
37.75138947,-122.1569001,SOJOURNER TRUTH INDEPENDENT STUDY,9736 Lawlor St.,,
37.81880032,-122.2794675,BEST AT MCCLYMONDS,2607 Myrtle St,,
37.81880032,-122.2794675,EXCEL AT MCCLYMONDS,2607 Myrtle St,,
37.80414233,-122.2357396,OAKLAND HIGH SCHOOL,1023 MacArthur Blvd,,
37.83385686,-122.2614983,OAKLAND INTERNATIONAL HIGH SCHOOL,4521 Webster St,,
37.78224176,-122.2263274,ACHIEVE ACADEMY (EFC-UE),1700 28th Avenue,,
37.80010586,-122.2655099,AMERICAN INDIAN PUBLIC CHARTER SCHOOL II,171 12th Street,,
37.77526698,-122.2245765,ARISE HIGH SCHOOL,"3301 E. 12th Street, Suite 205",,
37.80025715,-122.2866502,CIVICORP CORPSMEMBERS ACADEMY,1021 Third Street,,
37.84738021,-122.2836343,CIVICORPS ELEMENTARY SCHOOL (Formerly EBCC),1086 Alcatraz Ave,,
37.80025715,-122.2866502,EAST BAY CONSERVATION CORPS (9-12/ADULTS),1021 Third St.,,
37.77180812,-122.1896918,EAST OAKLAND LEADERSHIP ACADEMY (5-8),2614 Seminary Ave,,
37.78224176,-122.2263274,EFC UPPER ELEMENTARY (4-5),1700 28th Ave,,
37.84279283,-122.2779042,ENVISION ACADEMY OF ARTS & TECH (COUNTY APPROVED)(9),967 Stanford Ave,,
37.80599286,-122.2696975,LIGHTHOUSE COMMUNITY CHARTER HIGH SCHOOL (9-10),1600 Broadway,,
37.7582658,-122.1633631,LPS COLLEGE PARK (9-10),8601 MacArthur Blvd.,,
37.83321472,-122.2765781,NORTH OAKLAND COMMUNITY CHARTER SCHOOL (K-5),1000 42nd St.,,
37.80010586,-122.2655099,OAKLAND CHARTER HIGH (OCH),171 12th Street,,
37.80805817,-122.2721748,OAKLAND SCHOOL FOR THE ARTS (6-12),1800 San Pablo Ave,,
37.77346099,-122.1847665,OAKLAND UNITY HIGH SCHOOL (9-12),6038 Brann St.,,
37.80500826,-122.2658324,OASIS HIGH SCHOOL (9-12),285 17th St. Suite 100,,
37.76088331,-122.1636344,REEMS (E.C.) ACADEMY OF TECHNOLOGY & ART (K-8),8425 MacArthur Blvd,,
37.78224176,-122.2263274,WORLD ACADEMY (EFC-EOCC),1700 28th Ave,,
37.85004934,-122.2427572,CHABOT ELEMENTARY,6686 Chabot Rd,,
37.82327706,-122.2742727,HOOVER ELEMENTARY,890 Brockhurst St,,
37.80622198,-122.28278,M L KING JR ELEMENTARY,960 10th St,,
37.84950193,-122.2588066,PERALTA ELEMENTARY,460 63rd STREET,,
37.76484035,-122.209316,SANTA FE ELEMENTARY,915 54th St,,
37.80002502,-122.2376089,BELLA VISTA ELEMENTARY,1025 E 28th St,,
37.81105584,-122.2275816,CROCKER HIGHLANDS ELEMENTARY,525 Midcrest Rd,,
37.79343771,-122.2487282,FRANKLIN ELEMENTARY,915 Foothill Blvd,,
37.80590082,-122.2198099,GLENVIEW ELEMENTARY,4215 La Cresta Ave,,
37.7956084,-122.2568432,LA ESCUELITA ELEMENTARY,1100 3rd Ave,,
37.77562071,-122.2317949,LAZEAR ELEMENTARY,824 29th Ave,,
37.7917261,-122.2248648,MANZANITA COMMUNITY SCHOOL,2409 E 27th St.,,
37.7917261,-122.2248648,MANZANITA SEED,2409 E. 27th St,,
37.79521476,-122.1739111,CARL MUNCK ELEMENTARY,11900 Campus Dr,,
37.77363986,-122.2015672,HORACE MANN ELEMENTARY,5222 Ygnacio Ave,,
37.79281153,-122.1962231,LAUREL ELEMENTARY,3750 Brown Ave,,
37.76551631,-122.1786504,MARKHAM ELEMENTARY,7220 Krause Ave,,
37.75860176,-122.1745221,EAST OAKLAND PRIDE,8000 BIRCH STREET,,
37.73670087,-122.1744883,ESPERANZA ACADEMY,10315 E St.,,
37.73670087,-122.1744883,FRED T. KOREMATSU DISCOVERY ACADEMY,10315 E St.,,
37.74565149,-122.1407159,MARSHALL ELEMENTARY,3400 Malcolm Ave,,
37.75170814,-122.1795267,NEW HIGHLAND ACADEMY,8521 A St,,
37.75170814,-122.1795267,RISE COMMUNITY SCHOOL,8521 A St,,
37.72797796,-122.1765004,SOBRANTE PARK ELEMENTARY,470 El Paseo Dr,,
37.75860176,-122.1745221,WEBSTER ACADEMY,8000 Birch St,,
37.81476055,-122.2612055,WESTLAKE MIDDLE SCHOOL,2629 Harrison St,,
37.74605433,-122.1651876,ALLIANCE ACADEMY,1800 98th Ave,,
37.80350161,-122.2292563,EDNA M BREWER MIDDLE SCHOOL,3748 13th Ave,,
37.74605433,-122.1651876,ELMHURST COMMUNITY PREP,1800 98th Ave,,
37.77835784,-122.1895139,MELROSE LEADERSHIP ACADEMY,5328 BRANN STREET,,
